config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,key_fields,source_file,line_number,timestamp,notes
C04,2026-02-27_exp_13,task_completed,1,2026-02-27_exp_13:game:1:event:9,Player 3: blue,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\events_v1.jsonl,9,2026-02-27T09:05:32.213327Z,
C04,2026-02-27_exp_13,task_completed,2,2026-02-27_exp_13:game:1:event:22,Player 4: red,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\events_v1.jsonl,22,2026-02-27T09:06:05.295022Z,
C04,2026-02-27_exp_13,task_completed,3,2026-02-27_exp_13:game:1:event:31,Player 1: purple,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 5, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_13\structured-v1\events_v1.jsonl,31,2026-02-27T09:06:45.314217Z,
C04,2026-02-27_exp_14,task_completed,1,2026-02-27_exp_14:game:2:event:1,Player 1: red,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 0, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,1,2026-02-27T09:07:59.200876Z,
C04,2026-02-27_exp_14,task_completed,2,2026-02-27_exp_14:game:2:event:8,Player 2: brown,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,8,2026-02-27T09:08:11.964347Z,
C04,2026-02-27_exp_14,task_completed,3,2026-02-27_exp_14:game:2:event:10,Player 4: black,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,10,2026-02-27T09:08:17.505931Z,
C04,2026-02-27_exp_14,task_completed,4,2026-02-27_exp_14:game:2:event:45,Player 2: brown,Crewmate,"{""tasks_done_so_far"": 4, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 4, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,45,2026-02-27T09:11:31.031434Z,
C04,2026-02-27_exp_14,task_completed,5,2026-02-27_exp_14:game:2:event:63,Player 5: green,Crewmate,"{""tasks_done_so_far"": 5, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 7, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_14\structured-v1\events_v1.jsonl,63,2026-02-27T09:12:15.271264Z,
C04,2026-02-27_exp_15,task_completed,1,2026-02-27_exp_15:game:3:event:6,Player 6: lime,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 0, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,6,2026-02-27T09:13:23.288766Z,
C04,2026-02-27_exp_15,task_completed,2,2026-02-27_exp_15:game:3:event:9,Player 2: white,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,9,2026-02-27T09:13:29.838576Z,
C04,2026-02-27_exp_15,task_completed,3,2026-02-27_exp_15:game:3:event:47,Player 3: yellow,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 5, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,47,2026-02-27T09:18:05.609583Z,
C04,2026-02-27_exp_15,task_completed,4,2026-02-27_exp_15:game:3:event:53,Player 1: orange,Crewmate,"{""tasks_done_so_far"": 4, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 7, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,53,2026-02-27T09:18:20.918044Z,
C04,2026-02-27_exp_15,task_completed,5,2026-02-27_exp_15:game:3:event:79,Player 2: white,Crewmate,"{""tasks_done_so_far"": 5, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 14, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,79,2026-02-27T09:19:17.897835Z,
C04,2026-02-27_exp_15,task_completed,6,2026-02-27_exp_15:game:3:event:88,Player 2: white,Crewmate,"{""tasks_done_so_far"": 6, ""tasks_completed_this_player"": 2, ""tasks_total_this_player"": 3, ""timestep"": 17, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,88,2026-02-27T09:19:34.769598Z,
C04,2026-02-27_exp_15,task_completed,7,2026-02-27_exp_15:game:3:event:91,Player 2: white,Crewmate,"{""tasks_done_so_far"": 7, ""tasks_completed_this_player"": 2, ""tasks_total_this_player"": 3, ""timestep"": 18, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_15\structured-v1\events_v1.jsonl,91,2026-02-27T09:19:42.149310Z,
C04,2026-02-28_exp_10,task_completed,1,2026-02-28_exp_10:game:1:event:44,Player 1: red,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 5, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,44,2026-02-28T09:54:13.170404Z,
C04,2026-02-28_exp_10,task_completed,2,2026-02-28_exp_10:game:1:event:45,Player 2: white,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 5, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,45,2026-02-28T09:54:15.148477Z,
C04,2026-02-28_exp_11,task_completed,1,2026-02-28_exp_11:game:2:event:23,Player 2: purple,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,23,2026-02-28T10:00:44.831503Z,
C04,2026-02-28_exp_11,task_completed,2,2026-02-28_exp_11:game:2:event:25,Player 4: white,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,25,2026-02-28T10:00:49.663798Z,
C04,2026-02-28_exp_11,task_completed,3,2026-02-28_exp_11:game:2:event:49,Player 4: white,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 7, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,49,2026-02-28T10:01:59.485834Z,
C04,2026-02-28_exp_11,task_completed,4,2026-02-28_exp_11:game:2:event:54,Player 3: green,Crewmate,"{""tasks_done_so_far"": 4, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 8, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,54,2026-02-28T10:02:12.317463Z,
C04,2026-02-28_exp_11,task_completed,5,2026-02-28_exp_11:game:2:event:65,Player 4: white,Crewmate,"{""tasks_done_so_far"": 5, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 10, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,65,2026-02-28T10:02:46.473910Z,
C04,2026-02-28_exp_11,task_completed,6,2026-02-28_exp_11:game:2:event:74,Player 3: green,Crewmate,"{""tasks_done_so_far"": 6, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 12, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,74,2026-02-28T10:03:09.925300Z,
C04,2026-02-28_exp_12,task_completed,1,2026-02-28_exp_12:game:3:event:9,Player 2: green,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,9,2026-02-28T10:04:01.180091Z,
C04,2026-02-28_exp_12,task_completed,2,2026-02-28_exp_12:game:3:event:11,Player 4: lime,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,11,2026-02-28T10:04:06.017952Z,
C04,2026-02-28_exp_12,task_completed,3,2026-02-28_exp_12:game:3:event:26,Player 6: brown,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,26,2026-02-28T10:04:54.031329Z,
C04,2026-02-28_exp_12,task_completed,4,2026-02-28_exp_12:game:3:event:49,Player 6: brown,Crewmate,"{""tasks_done_so_far"": 4, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 7, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\aadi-expt-logs\expt-logs\2026-02-28_exp_12\structured-v1\events_v1.jsonl,49,2026-02-28T10:06:04.127503Z,
C04,2026-02-28_exp_15,task_completed,1,2026-02-28_exp_15:game:1:event:8,Player 2: black,Crewmate,"{""tasks_done_so_far"": 1, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 1, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_15\structured-v1\events_v1.jsonl,8,2026-02-28T14:47:37.438544Z,
C04,2026-02-28_exp_15,task_completed,2,2026-02-28_exp_15:game:1:event:13,Player 1: orange,Crewmate,"{""tasks_done_so_far"": 2, ""tasks_completed_this_player"": 0, ""tasks_total_this_player"": 3, ""timestep"": 2, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_15\structured-v1\events_v1.jsonl,13,2026-02-28T14:47:59.785551Z,
C04,2026-02-28_exp_15,task_completed,3,2026-02-28_exp_15:game:1:event:20,Player 2: black,Crewmate,"{""tasks_done_so_far"": 3, ""tasks_completed_this_player"": 1, ""tasks_total_this_player"": 3, ""timestep"": 3, ""human_won"": true}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_15\structured-v1\events_v1.jsonl,20,2026-02-28T14:48:15.354112Z,
