config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C03,2026-02-27_exp_7,task_completed_v2,human,2026-02-27_exp_7:game:2:event:83,Player 2: orange,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_7\structured-v1\events_v1.jsonl,83,2026-02-27T07:13:16.888796Z,
C03,2026-02-27_exp_7,task_completed_v2,human,2026-02-27_exp_7:game:2:event:88,Player 2: orange,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_7\structured-v1\events_v1.jsonl,88,2026-02-27T07:13:44.162974Z,
C03,2026-02-27_exp_7,task_completed_v2,llm,2026-02-27_exp_7:game:2:event:120,Player 5: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_7\structured-v1\events_v1.jsonl,120,2026-02-27T07:15:11.717174Z,
C03,2026-02-27_exp_7,task_completed_v2,llm,2026-02-27_exp_7:game:2:event:135,Player 5: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-27_exp_7\structured-v1\events_v1.jsonl,135,2026-02-27T07:16:05.843587Z,
C03,2026-02-28_exp_10,task_completed_v2,human,2026-02-28_exp_10:game:1:event:8,Player 2: blue,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,8,2026-02-28T08:23:34.700141Z,
C03,2026-02-28_exp_10,task_completed_v2,human,2026-02-28_exp_10:game:1:event:14,Player 2: blue,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,14,2026-02-28T08:23:46.936555Z,
C03,2026-02-28_exp_10,task_completed_v2,llm,2026-02-28_exp_10:game:1:event:16,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,16,2026-02-28T08:23:50.021768Z,
C03,2026-02-28_exp_10,task_completed_v2,llm,2026-02-28_exp_10:game:1:event:17,Player 5: brown,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,17,2026-02-28T08:23:51.505630Z,
C03,2026-02-28_exp_10,task_completed_v2,human,2026-02-28_exp_10:game:1:event:26,Player 2: blue,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,26,2026-02-28T08:24:27.515219Z,
C03,2026-02-28_exp_10,task_completed_v2,human,2026-02-28_exp_10:game:1:event:32,Player 2: blue,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,32,2026-02-28T08:24:41.838792Z,
C03,2026-02-28_exp_10,task_completed_v2,llm,2026-02-28_exp_10:game:1:event:39,Player 3: lime,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,39,2026-02-28T08:25:09.133697Z,
C03,2026-02-28_exp_10,task_completed_v2,llm,2026-02-28_exp_10:game:1:event:76,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,76,2026-02-28T08:27:11.094613Z,
C03,2026-02-28_exp_10,task_completed_v2,llm,2026-02-28_exp_10:game:1:event:177,Player 3: lime,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_10\structured-v1\events_v1.jsonl,177,2026-02-28T08:32:25.386996Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:10,Player 3: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,10,2026-02-28T09:03:38.327042Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:17,Player 3: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,17,2026-02-28T09:04:00.108354Z,
C03,2026-02-28_exp_11,task_completed_v2,human,2026-02-28_exp_11:game:2:event:20,Player 6: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,20,2026-02-28T09:04:07.667296Z,
C03,2026-02-28_exp_11,task_completed_v2,human,2026-02-28_exp_11:game:2:event:34,Player 6: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,34,2026-02-28T09:05:03.693646Z,
C03,2026-02-28_exp_11,task_completed_v2,llm,2026-02-28_exp_11:game:2:event:38,Player 3: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,38,2026-02-28T09:05:13.114971Z,
C03,2026-02-28_exp_11,task_completed_v2,human,2026-02-28_exp_11:game:2:event:41,Player 6: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,41,2026-02-28T09:05:21.627282Z,
C03,2026-02-28_exp_11,task_completed_v2,human,2026-02-28_exp_11:game:2:event:48,Player 6: black,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-28_exp_11\structured-v1\events_v1.jsonl,48,2026-02-28T09:05:39.131216Z,
