config_id,run_id,metric_name,metric_value,event_ids,actor,actor_identity,actor_source,key_fields,source_file,line_number,timestamp,notes
C01,2026-02-26_exp_12,task_completed_v2,human,2026-02-26_exp_12:game:2:event:1,Player 1: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,1,2026-02-26T14:19:56.963286Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:3,Player 3: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,3,2026-02-26T14:20:11.023588Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:4,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,4,2026-02-26T14:20:17.478202Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:6,Player 6: yellow,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,6,2026-02-26T14:20:30.755231Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:7,Player 7: brown,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,7,2026-02-26T14:20:36.646975Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:19,Player 7: brown,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,19,2026-02-26T14:27:51.275014Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:22,Player 3: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,22,2026-02-26T14:32:46.756213Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:23,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,23,2026-02-26T14:32:53.017003Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:25,Player 7: brown,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,25,2026-02-26T14:33:04.809742Z,
C01,2026-02-26_exp_12,task_completed_v2,human,2026-02-26_exp_12:game:2:event:26,Player 1: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,26,2026-02-26T14:33:16.287875Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:37,Player 7: brown,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,37,2026-02-26T14:34:50.357955Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:40,Player 3: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,40,2026-02-26T14:38:11.861312Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:41,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,41,2026-02-26T14:38:17.476950Z,
C01,2026-02-26_exp_12,task_completed_v2,human,2026-02-26_exp_12:game:2:event:44,Player 1: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,44,2026-02-26T14:38:37.680407Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:46,Player 3: cyan,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,46,2026-02-26T14:38:50.675930Z,
C01,2026-02-26_exp_12,task_completed_v2,llm,2026-02-26_exp_12:game:2:event:47,Player 4: black,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,47,2026-02-26T14:38:56.781104Z,
C01,2026-02-26_exp_12,task_completed_v2,human,2026-02-26_exp_12:game:2:event:50,Player 1: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_12\structured-v1\events_v1.jsonl,50,2026-02-26T14:39:25.925808Z,
C01,2026-02-26_exp_13,task_completed_v2,llm,2026-02-26_exp_13:game:3:event:2,Player 2: white,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_13\structured-v1\events_v1.jsonl,2,2026-02-26T14:42:49.626315Z,
C01,2026-02-26_exp_13,task_completed_v2,human,2026-02-26_exp_13:game:3:event:15,Player 1: lime,Crewmate,human,"{""tasks_total_this_player"": 3, ""actor_source"": ""human""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_13\structured-v1\events_v1.jsonl,15,2026-02-26T14:46:12.021963Z,
C01,2026-02-26_exp_13,task_completed_v2,llm,2026-02-26_exp_13:game:3:event:19,Player 5: blue,Crewmate,llm,"{""tasks_total_this_player"": 3, ""actor_source"": ""llm""}",C:\Users\shiven\Desktop\AmongUs\expt-logs\2026-02-26_exp_13\structured-v1\events_v1.jsonl,19,2026-02-26T14:46:39.412377Z,
